1;1;2020;;Yes;;
10;1;2020;Yes;;;
20;1;2020;;Yes;Yes;
7;2;2020;Yes;;;
13;2;2020;;;;Yes
17;2;2020;;Yes;Yes;
6;3;2020;Yes;;;
16;3;2020;;;Yes;
3;4;2020;Yes;;;
16;4;2020;;;;Yes
20;4;2020;;;Yes;
8;5;2020;Yes;;;
18;5;2020;;;Yes;
25;5;2020;;Yes;;
5;6;2020;Yes;;;
15;6;2020;;;Yes;
17;6;2020;;;;Yes
2;7;2020;Yes;;;
3;7;2020;;Yes;;
4;7;2020;;Yes;;
20;7;2020;;;Yes;
7;8;2020;Yes;;;
13;8;2020;;;;Yes
17;8;2020;;;Yes;
4;9;2020;Yes;;;
7;9;2020;;Yes;;
21;9;2020;;;Yes;
2;10;2020;Yes;;;
14;10;2020;;Yes;;
15;10;2020;;;;Yes
19;10;2020;;;Yes;
